"","LeafA","LeafB","Len1.x","Boot1.x","Len2.x","Boot2.x","NDesc.x","Node1.x","Node2.x","Len1.y","Boot1.y","Len2.y","Boot2.y","NDesc.y","Node1.y","Node2.y"
"2","AALA","SIIK",0.2899331293,94,NA,NA,7,1043,NA,0.2899331293,94,0.14168,0.75168,7,1043,1322
"83","BGZG","CBNG",0.0856098263572,42,NA,NA,952,452,NA,0.0856098263572,42,0.04666,0.504101,952,452,17
"145","CLNU","FFFY",0.0822055104653,60,NA,NA,8,666,NA,0.0822055104653,60,0.054269,0.430224,8,666,1700
"184","DFHO","BEGM",0.118979304403,25,NA,NA,8,1554,NA,0.118979304403,25,0.07339,0.429706,8,1554,820
"238","EGNB","MCPK",0.353759208443,84,NA,NA,10,2123,NA,0.353759208443,84,0,0.359457,10,2123,255
"246","EMJJ","YJUG",0.329655748142,100,NA,NA,2,1294,NA,0.329655748142,100,0.008325,0.342184,2,1294,1092
"295","FXHG","ZDIZ",0,14,NA,NA,40,2241,NA,0,14,0.003053,0.383583,40,2241,52
"307","GCFE","FUMQ",0.197738001866,79,NA,NA,33,969,NA,0.197738001866,79,0.069478,0.610456,33,969,1354
"365","HKMQ","CJGZ",0.0539410477665,66,NA,NA,2,178,NA,0.0539410477665,66,0.0444,0.367228,2,178,2195
"388","HYHN","XJGM",1.85043734873,100,NA,NA,2,1987,NA,1.85043734873,100,1.090278,0.997767,2,1987,406
"422","ISIM","CBNG",0.149951450388,77,NA,NA,107,2142,NA,0.149951450388,77,0.086133,0.51622,107,2142,42
"454","JHCN","UVQL",0.871694396945,100,NA,NA,53,293,NA,0.871694396945,100,0.108699,0.722873,53,293,1974
"462","JMTE","MCPK",0.128435556862,61,NA,NA,9,2125,NA,0.128435556862,61,0.030448,0.443152,9,2125,256
"500","KJAA","GCYL",0.322437755465,99,NA,NA,17,564,NA,0.322437755465,99,0.004724,0.338333,17,564,1818
"517","KVFU","DAAD",0.107286376006,23,NA,NA,5,631,NA,0.107286376006,23,0.040916,0.436901,5,631,1743
"567","MEKP","QIAD",0.251639711763,100,NA,NA,2,1576,NA,0.251639711763,100,0.074498,0.390977,2,1576,812
"586","MTII","CBNG",0.203927900576,93,NA,NA,601,1154,NA,0.203927900576,93,0.026746,0.368469,601,1154,26
"643","NXTS","SCAO",0.0545055804572,64,NA,NA,3,567,NA,0.0545055804572,64,0.01902,0.374476,3,567,1845
"679","OXYP","DAAD",0.263759169814,98,NA,NA,8,625,NA,0.263759169814,98,0.126082,0.813834,8,625,1742
"683","PAZJ","Manes_v4.1",0.121920513105,84,NA,NA,4,209,NA,0.121920513105,84,0.052502,0.38792,4,209,2159
"736","QFND","CBNG",0.105763441144,67,NA,NA,183,1990,NA,0.105763441144,67,0,0.361565,183,1990,40
"757","QTJY","CBNG",0.517985549844,100,NA,NA,650,1056,NA,0.517985549844,100,0.084631,0.5546,650,1056,23
"759","QUTB","FUMQ",0.262519844723,76,NA,NA,219,597,NA,0.262519844723,76,0.131667,0.486581,219,597,1342
"780","RCBT","UHLI",0.0222456089473,45,NA,NA,2,1808,NA,0.0222456089473,45,0.005514,0.364598,2,1808,583
"792","RMMV","JDQB",0.129537380871,99,NA,NA,2,1526,NA,0.129537380871,99,0.073953,0.450948,2,1526,871
"824","RVGH","KKDQ",0.258752914048,73,NA,NA,15,225,NA,0.258752914048,73,0.043786,0.4977,15,225,2123
"883","TGNL","CBNG",0.246703816749,86,NA,NA,105,2146,NA,0.246703816749,86,0.022348,0.424345,105,2146,43
"892","TJQY","NCVK",0.11146791914,65,NA,NA,3,120,NA,0.11146791914,65,0.003388,0.355094,3,120,2250
"898","TPEM","GIOY",0.126697064944,77,NA,NA,2,713,NA,0.126697064944,77,0.016389,0.38507,2,713,1668
"956","VCIN","BLVL",0.0994554124721,89,NA,NA,3,129,NA,0.0994554124721,89,0.020344,0.401791,3,129,2243
"1035","WQUF","CBNG",0.119763770454,61,NA,NA,942,472,NA,0.119763770454,61,0.048051,0.492552,942,472,19
"1039","WSJO","MFZO",0.241242909071,80,NA,NA,10,1892,NA,0.241242909071,80,0.008339,0.360646,10,1892,482
"1046","WWKL","UVQL",0.208939486906,76,NA,NA,49,301,NA,0.208939486906,76,0.053492,0.522213,49,301,1975
"1068","XKPS","CBNG",0.0555792241559,44,NA,NA,948,460,NA,0.0555792241559,44,0.023732,0.42924,948,460,18
"1071","XMCL","XJGM",1.22409829521,100,NA,NA,3,1985,NA,1.22409829521,100,0.305951,0.749314,3,1985,405
"1074","XMQO","CBNG",0.230550941028,82,NA,NA,661,1034,NA,0.230550941028,82,0.020093,0.403141,661,1034,20
"1081","XPBC","AEPI",0.110429765744,58,NA,NA,20,254,NA,0.110429765744,58,0,0.349396,20,254,2084
"1082","XPBC","NFXV",0.276175967629,90,NA,NA,7,255,NA,0.276175967629,90,0.0701,0.583968,7,255,2110
"1103","YGAT","AEPI",0.0815339755974,51,NA,NA,39,216,NA,0.0815339755974,51,0.010974,0.349706,39,216,2081
"1127","YSRZ","WVMY",1.07993790362,100,NA,NA,3,620,NA,1.07993790362,100,0.252966,0.973152,3,620,1757
