Code	Full Name	brief_Classification	Full_Classification	Alg_classification	Eudic_classification	SeedPlant_nonEudic_classification	Nonseed_Embryo	Concat_Caryo	ASTRAL_Caryo1	CoreEudic_Radiation	Confer_relationships	Bryophyte_Relationships	Basal Angiosperms	Commelinids	LandPlantsSister	Prasinocauccues	CUT_Clade
MWXT	MWXT;Streptophyta Charales;Chara vulgaris	Charophyceae	Charophyceae	Charophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Chara	Strept	Out
HHXJ	HHXJ;Chlorodendrophyceae;Tetraselmis striata	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
DUMA	DUMA;Chlorodendrophyceae;Tetraselmis cordiformis	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
FMVB	FMVB;Chlorodendrophyceae;Scherffelia dubia	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
HVNO	HVNO;Chlorodendrophyceae;Tetraselmis chui	Chlorodendrales	Chlorodendrales	Chlorodendrales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Out
AZZW	AZZW;Streptophyta Chlorokybales;Chlorokybus atmophyticus	Chlorokybales	Chlorokybales	Chlorokybales	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Strept	Out
BAZF	BAZF;Chlorophyceae Chaetopeltidales;Chaetopeltis orbicularis	Chlorophyceae	Chlorophyceae Chaetopeltidales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IJMT	IJMT;Chlorophyceae Chaetophorales;Aphanochaete repens	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ISGT	ISGT;Chlorophyceae Chaetophorales;Uronema sp.	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JMUI	JMUI;Chlorophyceae Chaetophorales;Stigeoclonium helveticum	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
RAWF	RAWF;Chlorophyceae Chaetophorales;Uronema belkae	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
VFIV	VFIV;Chlorophyceae Chaetophorales;Fritschiella tuberosa	Chlorophyceae	Chlorophyceae Chaetophorales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ACRY	ACRY;Chlorophyceae Chlamydomonadales;Pteromonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AGIO	AGIO;Chlorophyceae Chlamydomonadales;Haematococcus pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AJUW	AJUW;Chlorophyceae Chlamydomonadales;Chloromonas rosae	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
AOUJ	AOUJ;Chlorophyceae Chlamydomonadales;Chlamydomonas sp.	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
BCYF	BCYF;Chlorophyceae Chlamydomonadales;Chlamydomonas cribrum	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
DZPJ	DZPJ;Chlorophyceae Chlamydomonadales;Cylindrocapsa geminella	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ENAU	ENAU;Chlorophyceae Chlamydomonadales;Spermatozopsis similis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
FXHG	FXHG;Chlorophyceae Chlamydomonadales;Hafniomonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GDUD	GDUD;Chlorophyceae Chlamydomonadales;Chloromonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GFUR	GFUR;Chlorophyceae Chlamydomonadales;Chloromonas subdivisa	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
GUBD	GUBD;Chlorophyceae Chlamydomonadales;Brachiomonas submarina	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IHOI	IHOI;Chlorophyceae Chlamydomonadales;Chloromonas oogama	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
IRYH	IRYH;Chlorophyceae Chlamydomonadales;Heterochlamydomonas inaequalis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
ISPU	ISPU;Chlorophyceae Chlamydomonadales;Volvox globator	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JKKI	JKKI;Chlorophyceae Chlamydomonadales;Lobomonas rostrata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JRGZ	JRGZ;Chlorophyceae Chlamydomonadales;Chlamydomonas moewusii	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
JWGT	JWGT;Chlorophyceae Chlamydomonadales;Volvox aureus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
KFEB	KFEB;Chlorophyceae Chlamydomonadales;Haematococcus pluvialis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
KUJU	KUJU;Chlorophyceae Chlamydomonadales;Gonium pectorale	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
LBRP	LBRP;Chlorophyceae Chlamydomonadales;Chloromonas reticulata	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
LNIL	LNIL;Chlorophyceae Chlamydomonadales;Pteromonas angulosa	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MNPL	MNPL;Chlorophyceae Chlamydomonadales;Asteromonas gracilis	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
MULF	MULF;Chlorophyceae Chlamydomonadales;Chlamydomonas bilatus	Chlorophyceae	Chlorophyceae Chlamydomonadales	Chlorophyceae	Other	Other	Other	Out	Out	Out	Out	Out	Out	Out	Out	Chloro	Chlorophyceae
