Len1	Boot1	Len2	Boot2	NDesc	LeafA	LeafB	Node1	Node2
0.821880	1.000000	0.730087930153	100.0	1176	Phavu_v1.0	AXAF	3	4
0.292791	0.973257	0.307550309431	100.0	1175	SUAK	AXAF	5	6
0.194241	0.855407	0.141592028005	99.0	1174	NXOH	AXAF	7	8
2.582553	1.000000	2.88666982381	100.0	1173	JTQQ	AXAF	9	10
1.025684	0.998832	1.2804229676	100.0	6	JTQQ	RMWJ	10	11
0.066785	0.479792	0.1427688813	77.0	5	JTQQ	KNMB	11	13
3.369995	1.000000	3.98981184081	100.0	2	JTQQ	PEZP	12	14
0.928502	1.000000	0.875225672772	100.0	3	MYMP	KNMB	15	17
3.966030	1.000000	4.73327467263	100.0	2	MYMP	HJMP	16	19
0.455848	0.991095	0.463853763316	100.0	1167	VLNB	AXAF	21	22
0.481231	0.994131	0.672521638124	100.0	1166	TTRG	AXAF	23	24
3.226284	1.000000	4.376235982	100.0	2	TTRG	CMFF	24	25
1.153638	1.000000	1.35872593881	100.0	1164	SLYR	AXAF	27	28
0.401628	0.988605	0.411452139061	100.0	1163	ZSSR	AXAF	29	30
2.506860	1.000000	3.551812504	100.0	1162	PJSX	AXAF	31	32
1.703759	1.000000	2.53136464287	100.0	7	PJSX	QZXQ	32	33
0.631589	0.999059	0.642794894192	100.0	4	PJSX	KZED	33	39
2.554717	1.000000	3.90381136809	100.0	3	PJSX	XOOE	34	41
2.443926	1.000000	2.57587842799	100.0	2	PJSX	ZCDJ	35	43
2.803991	1.000000	2.9347282084	100.0	3	VHZV	QZXQ	40	34
1.587236	1.000000	1.50858393888	100.0	2	VHZV	GEHT	41	36
0.524769	0.988133	0.636734731854	100.0	1155	RKLL	AXAF	45	46
0.068636	0.516969	0.140311646818	98.0	3	RKLL	JETM	46	47
3.098794	1.000000	3.76745776593	100.0	2	RKFX	JETM	48	49
2.736281	1.000000	3.37868713602	100.0	1152	OQHZ	AXAF	51	52
0.139264	0.622716	0.163635832632	98.0	1151	OHAE	AXAF	53	54
2.060252	1.000000	4.0121150086	100.0	1150	LWDA	AXAF	55	56
2.575070	1.000000	4.59587930752	100.0	10	LWDA	TJLC	56	57
1.289989	1.000000	1.54985702776	100.0	9	LWDA	SVVG	57	59
0.765609	0.999927	0.808091346183	100.0	5	LWDA	DXQW	58	67
1.483083	1.000000	1.54200092477	100.0	3	LWDA	LNER	59	71
2.447147	1.000000	2.29103476652	100.0	2	LWDA	CWZU	60	73
0.581223	0.998930	0.623399017116	100.0	2	INSP	DXQW	64	68
2.751103	1.000000	3.80029169718	100.0	4	NHUA	SVVG	67	60
3.716044	1.000000	3.69190940706	100.0	3	NHUA	HENI	68	62
1.701771	1.000000	1.50643867296	100.0	2	NHUA	UZWG	69	64
0.065035	0.498175	0.450596587001	99.0	1140	CIAC	AXAF	75	76
0.622749	0.854106	1.72002018219	100.0	1111	CIAC	TIUZ	76	134
0.000000	0.335219			1011	CIAC	YGCX	77	
0.000000	0.357984			977	CIAC	VYGG	78	
0.700345	0.875763	2.67386726752	100.0	975	CIAC	WQUF	79	406
1.250366	0.992803	2.69495432556	100.0	23	CIAC	HTIP	80	407
0.278498	0.691946	0.533901389455	100.0	17	CIAC	DRIL	81	419
1.972664	1.000000	3.11518561548	100.0	12	CIAC	UWFU	82	429
1.226237	1.000000	1.43336690974	100.0	11	CIAC	SYHW	83	431
1.720387	1.000000	1.93395343015	100.0	10	CIAC	FCBJ	84	433
0.546803	0.997782	0.639022916223	100.0	9	CIAC	SLOI	85	435
0.387282	0.983798	0.413922333156	100.0	3	CIAC	YKFU	86	436
0.359839	0.987933	0.384074483682	100.0	2	CIAC	UHBY	87	438
0.089093	0.563344	0.0913489598071	88.0	6	CKKR	SLOI	91	441
0.960924	0.999999	0.877501870608	100.0	2	CKKR	OOVX	92	442
3.362285	1.000000	3.68843358287	100.0	4	ERIA	SLOI	95	445
0.019308	0.404723	0.0471847961081	49.0	3	DAYQ	SLOI	97	447
0.258923	0.865263	0.244138057527	99.0	2	DAYQ	CTSS	98	449
1.317549	0.999969	1.95315428237	100.0	5	TOKV	DRIL	105	420
1.628665	1.000000	1.62686484382	100.0	2	TOKV	IUSR	106	421
3.432494	1.000000	4.05248526375	100.0	3	KWGC	DRIL	109	424
1.256170	1.000000	1.20004352619	100.0	2	ZJUL	DRIL	111	426
1.195459	0.999861	2.02694588156	100.0	6	NUZN	HTIP	114	408
0.807796	0.999954	0.90463481789	100.0	5	NUZN	FYTP	115	410
0.205363	0.847227	0.20529992563	100.0	4	NUZN	YKQR	116	412
3.205883	1.000000	3.47162263052	100.0	3	HQRJ	YKQR	118	414
3.607307	1.000000	4.10871263091	100.0	2	HQRJ	OMDH	119	416
0.000000	0.444660	0.0856098263572	42.0	952	VGVI	WQUF	125	452
0.000000	0.371912			10	VGVI	BGZG	126	
2.019602	1.000000	3.70061354467	100.0	6	VGVI	XKPS	127	461
1.111436	0.999994	1.18151250266	100.0	5	VGVI	BSEY	128	463
1.724689	1.000000	1.80080386644	100.0	4	XGFU	BSEY	130	465
2.015761	1.000000	2.0548097014	100.0	2	XGFU	RSPO	131	466
0.734952	0.999993	0.696977273424	100.0	2	QKMG	BSEY	134	469
3.574042	1.000000	4.76576358281	100.0	4	Vitvi_Genoscope.12X	BGZG	138	453
0.180719	0.851843	0.123711237649	99.0	3	Vitvi_Genoscope.12X	SZPD	139	455
2.746214	1.000000	2.58041122005	100.0	2	BBBA	SZPD	141	457
0.000000	0.381045	0.119763770454	61.0	942	BAZF	WQUF	145	472
0.000000	0.399042	0.230550941028	82.0	661	BAZF	EHNF	146	1034
1.547676	0.998802	3.63993408887	100.0	659	BAZF	SWOH	147	1038
0.284959	0.693733	0.923871088282	100.0	657	BAZF	AALA	148	1042
0.134897	0.557349	0.517985549844	100.0	650	BAZF	QTJY	149	1056
0.664632	0.877994	1.71204865123	100.0	629	BAZF	NPND	150	1098
0.000000	0.410691	0.395866986314	83.0	628	BAZF	OSHQ	151	1100
0.000000	0.350330			626	BAZF	WKSU	152	
0.991186	0.972133	2.42147773078	100.0	493	BAZF	FZJL	153	1370
0.322755	0.737798	0.799925164872	100.0	490	BAZF	WTKZ	154	1376
0.260574	0.691590	0.388117034186	100.0	488	BAZF	URDJ	155	1380
2.229965	0.999999	4.60910717927	100.0	486	BAZF	SGTW	156	1384
1.620052	0.999281	4.3143670849	100.0	404	BAZF	JVSZ	157	1548
0.657378	0.877716	1.92775642438	100.0	331	BAZF	PYHZ	158	1694
0.172583	0.594253	0.724633703354	100.0	309	BAZF	BSNI	159	1738
0.590039	0.824125	3.52377868484	100.0	235	BAZF	TPHT	160	1886
0.000000	0.350330	0.137927914504	64.0	198	BAZF	VQBJ	161	1960
0.000000	0.397328	0.219537190389	97.0	195	BAZF	Chabr_v0.1	162	1966
0.000000	0.383345	0.667414116424	100.0	193	BAZF	Klefl_v1.0	163	1970
0.085497	0.552480	2.14673758777	100.0	189	BAZF	KYIO	164	1978
0.000000	0.417789	1.05947795922	100.0	186	BAZF	HYHN	165	1984
0.000000	0.338773	0.105763441144	67.0	183	BAZF	PQED	166	1990
0.000000	0.354027	0.803575730422	100.0	117	BAZF	EGNB	167	2122
0.000000	0.361012			108	BAZF	MMKU	168	
0.000000	0.345762			106	BAZF	JMTE	169	
0.000000	0.334663	0.246703816749	86.0	105	BAZF	TGNL	170	2146
0.000000	0.373095	0.39087387334	96.0	104	BAZF	AYPS	171	2148
0.000000	0.409754	1.68828661849	100.0	103	BAZF	PUAN	172	2150
0.000000	0.353343			101	BAZF	HHXJ	173	
0.000000	0.350149	0.607167440163	100.0	97	BAZF	EEJO	174	2162
0.000000	0.352221	0.397206820818	98.0	81	BAZF	GYBH	175	2194
0.000000	0.486901	2.30769293019	100.0	61	BAZF	ENAU	176	2199
0.012102	0.505514	1.30082151869	100.0	8	BAZF	DVYE	177	2200
0.000000	0.362293	0.00834368756996	22.0	7	IJMT	DVYE	179	2202
1.024284	0.970788	1.7985219208	100.0	5	IJMT	ISGT	180	2206
1.101842	0.984740	2.54727824075	100.0	4	VFIV	ISGT	182	2208
0.254242	0.672640	0.341965764031	100.0	2	VFIV	JMUI	183	2212
1.465629	0.997625	2.76498412285	100.0	2	RAWF	ISGT	186	2209
1.837600	0.999872	4.86239305096	100.0	2	SDPC	DVYE	189	2203
0.000000	0.377957	0.33651874186	99.0	53	VIAU	ENAU	192	2215
0.000000	0.390010	0.61387199571	100.0	42	VIAU	FXHG	193	2237
0.000000	0.352866			41	IRYH	FXHG	195	
0.000000	0.370191			40	IRYH	RUIF	196	
0.000000	0.378945	0.116365977685	49.0	35	IRYH	KFEB	197	2251
0.000000	0.386768	1.00324082052	100.0	16	IRYH	OFUE	198	2252
0.188761	0.605728	1.58450703143	100.0	14	IRYH	USIX	199	2256
0.000000	0.373409	0.322757097909	100.0	13	Chlre_v5.5	USIX	201	2258
0.482362	0.783040	1.89908667351	100.0	11	Chlre_v5.5	JKKI	202	2262
0.539052	0.815623	1.81753454034	100.0	10	Chlre_v5.5	BCYF	203	2264
0.043528	0.490551	0.395938177275	100.0	9	Chlre_v5.5	ISPU	204	2266
0.000000	0.336312	0.0742513361354	60.0	8	IHOI	ISPU	206	2268
0.156504	0.576714	0.566057154638	100.0	7	KUJU	ISPU	208	2270
0.030341	0.459891	0.117438357055	87.0	6	WRSL	ISPU	210	2272
0.610316	0.905145	1.20968872632	100.0	5	WRSL	RYJX	211	2274
0.081833	0.509313	0.246586585769	100.0	3	WRSL	Volca_v2.0	212	2278
2.127126	0.999997	3.79986069175	100.0	2	WRSL	JWGT	213	2280
0.009389	0.421566	0.103537904966	77.0	2	RNAT	RYJX	217	2275
0.491871	0.783730	1.79064006715	100.0	2	QWRA	USIX	223	2259
1.739991	0.999669	4.63796000881	100.0	2	XDLL	OFUE	226	2253
0.000000	0.478189	1.3694590235	100.0	19	VALZ	KFEB	229	2283
0.000000	0.419364	0.652547402148	100.0	8	VALZ	LNIL	230	2284
0.079569	0.531638	0.636723322176	100.0	5	VALZ	GFUR	231	2290
0.988334	0.969982	2.18798913662	100.0	3	VALZ	JRGZ	232	2294
0.283029	0.692199	0.456748374367	100.0	2	VALZ	MULF	233	2296
1.357225	0.996546	3.03642172119	100.0	2	TSBQ	GFUR	237	2291
1.312469	0.991417	4.4839986313	100.0	3	ZIVZ	LNIL	240	2285
1.336450	0.995149	2.59026716545	100.0	2	ACRY	LNIL	242	2287
0.722346	0.887229	2.59276903724	100.0	11	ZFXU	KFEB	245	2299
1.181154	0.987772	2.96877811005	100.0	6	ZFXU	RHVC	246	2309
1.508407	0.999375	2.88834087502	100.0	5	SYJM	RHVC	248	2311
1.623768	0.999897	2.60445125592	100.0	4	UKUC	RHVC	250	2313
1.946258	0.999994	3.00978751733	100.0	3	ZDIZ	RHVC	252	2315
0.177102	0.634460	0.216004799208	100.0	2	ZDIZ	WDWX	253	2317
0.330341	0.706408	0.836426465627	100.0	5	PRIQ	KFEB	257	2300
0.248654	0.655159	0.579130775589	100.0	3	PRIQ	ZLQE	258	2304
1.797121	0.999809	4.56154444171	100.0	2	PRIQ	QRTH	259	2306
0.444296	0.807031	0.876047414268	100.0	2	GUBD	KFEB	263	2301
0.000000	0.361478			5	LBRP	RUIF	266	
1.527163	0.998139	4.86232466283	100.0	4	LBRP	UTRE	267	2244
0.408697	0.827797	0.659508821411	100.0	3	LBRP	AOUJ	268	2246
1.648487	0.999675	2.8135767332	100.0	2	LBRP	AJUW	269	2248
0.000000	0.349049	0.45562314229	99.0	11	VJDZ	ENAU	276	2216
0.000000	0.378164	0.323396642272	95.0	8	VJDZ	BZSH	277	2222
0.000000	0.351906			7	VJDZ	FOYQ	278	
0.521466	0.797709	2.60587369836	100.0	6	VJDZ	OTQG	279	2226
0.000000	0.403549	0.260082108237	99.0	5	VJDZ	MWAN	280	2228
0.709208	0.904381	1.45479330242	100.0	3	VJDZ	XKWQ	281	2232
1.632102	0.999304	2.93592181977	100.0	2	XTON	XKWQ	283	2234
0.730269	0.916218	1.43173500649	100.0	2	PZIF	MWAN	286	2229
0.000000	0.336866	0.267217990997	89.0	3	DZPJ	ENAU	292	2217
0.606663	0.845087	2.11758833056	100.0	2	MXDS	ENAU	294	2219
0.000000	0.341752			20	AJAU	GYBH	297	
0.000000	0.365429	0.572856949417	100.0	14	AJAU	NSTT	298	2328
0.000000	0.347673	0.277357151892	96.0	12	AJAU	KADG	299	2332
1.109492	0.973757	4.88381160718	100.0	11	AJAU	GJIY	300	2334
0.225454	0.629247	0.577095688232	100.0	4	AJAU	JIWJ	301	2348
1.031295	0.971995	1.69945031917	100.0	3	AJAU	LETF	302	2350
1.622893	0.999170	4.47733681448	100.0	2	CBNG	LETF	304	2352
0.030087	0.475079	0.298081388121	100.0	7	OQON	GJIY	308	2335
0.528488	0.832865	1.01778529192	100.0	6	OQON	KSFK	309	2337
0.000000	0.421538	0.212472769921	100.0	5	OQON	NQYP	310	2339
