CODE	name
ACACH	Rifleman
ANAPL	Pekin duck
CAPCA	Chuck-will's-widow
APAVI	Bar-tailed trogon
APTFO	Emperor penguin
BALRE	Grey-crowned crane
BUCRH	Rhinoceros hornbill
CALAN	Anna's hummingbird
CARCR	Red-legged seriema
CATAU	Turkey vulture
CHAPE	Chimney swift
CHAVO	Killdeer
CHLUN	MacQueen's bustard
COLLI	Pigeon
COLST	Speckled mousebird
CORBR	American crow
CUCCA	Common cuckoo
EGRGA	Little egret
EURHE	Sunbittern
FALPE	Peregrine falcon
FULGL	Northern fulmar
GALGA	Chicken
GAVST	Red-throated loon
GEOFO	Medium ground-finch
HALAL	White-tailed eagle
HALLE	Bald eagle
LEPDI	Cuckoo-roller
MANVI	Golden-collared manakin
MELGA	Turkey
MELUN	Budgerigar
MERNU	Carmine bee-eater
MESUN	Brown mesite
NESNO	Kea
NIPNI	Crested ibis
OPHHO	Hoatzin
PELCR	Dalmatian pelican
PHACA	Great cormorant
PHALE	White-tailed tropicbird
PHORU	American flamingo
PICPU	Downy woodpecker
PODCR	Great-crested grebe
PTEGU	Yellow-throated sandgrouse
PYGAD	Adelie penguin
STRCA	Common ostrich
TAEGU	Zebra finch
TAUER	Red-crested turaco
TINMA	White-throated tinamou
TYTAL	Barn owl
ANOCA	Green anole lizard
ALLIG	American alligator
AMISS	American alligator
CHEMY	Green sea turtle
HUMAN	Human
